sample,site,LAYER,pH,Mass_g,N,C,Nmg,H,CN,wt_g
AW01OR,AW,1,4.010733333,0.135,1.8842,43.82,2.4804,6.1574,23.25655451,26.22
AW02OR,AW,1,4.5274,0.2423,0.4103,7.949,0.96943,1.3295,19.37362905,84.26
AW03OR,AW,1,4.404066667,0.1183,2.1099,45.476,2.434,6.3807,21.55362813,50.72
AW04OR,AW,1,4.7687,0.1788,0.0008,-0.03918,0.00139,0.27363,,25.59
AW05OR,AW,1,4.4137,0.1944,3.1436,64.074,5.9592,8.4168,20.38236417,43.36
BD0101,BDs,1,5.1887,0.2161,1.711,25.498,3.6096,3.5638,14.90239626,
BD0102,BDs,2,4.46,0.2243,0.56621,8.7819,1.2399,1.5306,15.5099698,
BD0103,BDs,3,4.41,0.2132,0.14658,1.7195,0.30509,0.62003,11.73079547,
BD01OR,BD,1,3.5625,0.2058,1.1833,20.638,2.3746,2.937,17.44105468,37.43
BD0201,BDs,1,3.7775,0.2053,1.1897,20.607,2.3844,2.765,17.32117341,
BD0202,BDs,2,3.82,0.2054,0.71156,11.729,1.4269,1.7293,16.48350104,
BD0203,BDs,3,4.43,0.2397,0.0721,1.0485,0.16871,0.35157,14.54230236,
BD02OR,BD,1,3.5,0.2317,1.0353,18.423,2.3392,2.6426,17.79484207,46.05
BD0301,BDs,1,3.96,0.1612,1.945,35.28,3.0609,4.4178,18.13881748,
BD0302,BDs,2,3.562,0.207,1.264,25.113,2.5544,3.2266,19.86787975,
BD0303,BDs,3,3.67,0.2088,0.29033,5.3301,0.59183,0.99008,18.35876416,
BD0304,BDs,4,3.96,0.2159,0.16232,2.775,0.34213,0.62765,17.09586003,
BD03OR,BD,1,3.4275,0.2076,1.3872,25.338,2.8083,3.4898,18.26557093,31.53
BD0401,BDs,1,4.062033333,0.2081,1.728,32.323,3.5107,4.1802,18.70543981,
BD0402,BDs,2,3.64,0.1976,0.46218,8.4987,0.8916,1.3571,18.38829028,
BD0403,BDs,3,3.9,0.2897,0.2322,4.1486,0.65673,0.76091,17.8664944,
BD04OR,BD,1,3.53,0.2088,1.1929,21.54,2.4289,3.0426,18.05683628,23.35
BD0501,BDs,1,3.842033333,0.125,2.0629,37.84,2.5174,4.9511,18.34310922,
BD0502,BDs,2,3.516666667,0.1986,0.91507,15.971,1.7742,2.2491,17.45330958,
BD0503,BDs,3,3.94,0.2427,0.18999,2.7464,0.45017,0.67121,14.45549766,
BD05OR,BD,1,3.326666667,0.242,0.87578,15.342,2.0667,2.202,17.51809815,62.16
BD0601,BDs,1,4.72,0.182,1.3982,19.638,2.4843,2.8239,14.04520097,
BD0602,BDs,2,4.39,0.2112,0.24293,2.844,0.50089,0.93829,11.70707611,
BD0603,BDs,3,4.393333333,0.2239,0.14982,1.6634,0.32748,0.69559,11.10265652,
BD0701,BDs,1,3.6837,0.2255,1.3467,23.826,2.9648,3.0865,17.69213633,
BD0702,BDs,2,3.59,0.2007,0.71482,11.839,1.4006,1.7573,16.56221147,
BD0703,BDs,3,4.2,0.2223,0.09081,1.1979,0.19709,0.48165,13.19127849,
BD0801,BDs,1,3.5587,0.1398,2.0615,40.892,2.8135,5.1773,19.83604172,
BD0802,BDs,2,3.2827,0.1962,1.4957,28.893,2.865,3.5854,19.31737648,
BD0803,BDs,3,3.453333333,0.2781,0.64182,12.343,1.7426,1.6627,19.23124864,
BD0901,BDs,1,4.2287,0.1542,1.8703,33.444,2.8155,4.424,17.88162327,
BD0902,BDs,2,3.603333333,0.1724,1.3318,27.256,2.2416,3.4772,20.46553537,
BD1001,BDs,1,3.812033333,0.1414,2.0015,38.236,2.763,5.0328,19.10367225,
BD1002,BDs,2,3.803333333,0.2582,0.52584,10.265,1.3255,1.5741,19.52114712,
BW01OR,BW,1,3.89,0.1477,2.1201,41.66,3.0536,5.6558,19.65001651,22.92
BW02OR,BW,1,3.51,0.2334,0.662,11.806,1.5067,1.7853,17.83383686,40.93
BW03OR,BW,1,3.536666667,0.2538,0.92798,14.825,2.2966,2.197,15.97555982,45.49
BW04OR,BW,1,3.645366667,0.1953,1.6552,31.786,3.1522,4.2968,19.2037216,26.91
BW05OR,BW,1,3.49,0.2153,0.85799,16.412,1.8013,2.3943,19.12842807,44.23
DK01OR,DK,1,4.4825,0.1899,0.9862,21.315,1.8284,2.917,21.61326303,65.86
DK02OR,DK,1,4.673333333,0.2725,0.61396,8.7824,1.6333,1.4311,14.30451495,67.21
DK03OR,DK,1,3.65148,0.2079,1.5542,30.002,3.1509,3.9159,19.3038219,38.01
DK04OR,DK,1,4.55,0.2403,1.0046,15.843,2.3539,2.5878,15.7704559,58.7
DK05OR,DK,1,3.9125,0.1868,0.98579,18.17,1.7957,2.8247,18.43191755,63.47
DO01OR,DO,1,4.09,0.2454,0.72769,11.516,1.7413,1.8346,15.82542017,64.32
DO02OR,DO,1,4.455366667,0.2153,1.2132,21.153,2.5472,3.1642,17.43570722,21.81
DO03OR,DO,1,3.807,0.2517,0.92918,14.785,2.2806,2.3563,15.91187929,38.94
DO0OR,DO,1,4.396666667,0.2785,0.65349,10.51,1.7747,1.689,16.08287809,68.49
DO05OR,DO,1,3.970733333,0.1526,1.9998,44.327,2.9758,5.9454,22.16571657,14.61
FL01OR,FL,1,3.3187,0.1608,1.7578,48.582,2.7595,6.0077,27.63795654,17.94
FL02OR,FL,1,3.3387,0.1449,1.8213,49.107,2.5764,6.1259,26.96260913,15.43
FL03OR,FL,1,3.382033333,0.1912,1.8742,44.781,3.4985,5.5848,23.89339451,16.44
FL04OR,FL,1,3.478146667,0.217,1.9717,38.242,4.1771,4.9977,19.39544555,30.04
FL05OR,FL,1,3.43148,0.1678,1.5792,30.332,2.587,4.1843,19.20719352,33.75
FS01OR,FS,1,3.1687,0.2088,1.5258,31.165,3.1067,4.0719,20.42535064,31.22
FS02OR,FS,1,3.7375,0.2795,0.64723,12.27,1.764,1.6929,18.9577121,53.44
FS03OR,FS,1,3.916666667,0.251,0.37071,7.0758,0.90735,1.0192,19.08715708,61.47
FS04OR,FS,1,3.510733333,0.1847,1.9349,41.194,3.4849,5.3812,21.28998915,
FS05OR,FS,1,3.1187,0.2686,0.76233,15.984,1.9967,2.1114,20.96729763,70.3
GD01OR,GD,1,4.056666667,0.2017,1.8878,37.049,3.7129,4.5545,19.62548999,40.22
GD02OR,GD,1,3.95,0.2255,1.3239,24.72,2.9111,3.1727,18.67210514,47.25
GD03OR,GD,1,4.296666667,0.1404,1.4196,25.341,1.9436,3.4881,17.85080304,53.53
GD04OR,GD,1,4.035,0.2158,0.90199,15.699,1.8981,2.1751,17.40484928,57.15
GD05OR,GD,1,4.336666667,0.2086,1.2321,22.191,2.5063,3.1768,18.01071342,35.96
GP01OR,GP,1,4.0125,0.216,1.635,28.37,3.4439,4.2291,17.35168196,24.97
GP020R,GP,1,4.056666667,0.3156,1.1291,18.289,3.4749,3.0558,16.1978567,
GP03OR,GP,1,3.825,0.2277,1.3679,22.168,3.0372,3.4557,16.205863,25.5
GP04OR,GP,1,4.336666667,0.1766,2.2235,44.046,3.8291,6.5429,19.80930965,42.24
GP05OR,GP,1,3.986666667,0.2619,0.64294,9.0379,1.642,1.657,14.05714375,36.83
GW01OR,GW,1,4.4127,0.196,1.4348,28.714,2.7423,3.9923,20.0125453,27.72
GW02OR,GW,1,4.080733333,0.1135,1.9386,48.586,2.1456,6.6491,25.06241618,43.54
GW03OR,GW,1,3.982033333,0.2217,2.3406,43.197,5.0601,5.8483,18.45552422,21.11
GW04OR,GW,1,3.8262,0.1927,1.9339,41.627,3.634,5.7387,21.52489787,23.88
GW05OR,GW,1,3.8412,0.2103,1.7321,39.117,3.5521,5.3762,22.58356908,24.67
HP01OR,HP,1,3.9187,0.1431,1.8064,37.301,2.5237,4.9266,20.64935784,32.54
HP02OR,HP,1,3.4587,0.1685,2.1703,46.336,3.5703,5.883,21.35004377,20.36
HP03OR,HP,1,3.505366667,0.1596,2.1867,46.474,3.4072,6.033,21.25302968,19.46
HP04OR,HP,1,4.066666667,0.255,1.1942,20.604,2.9729,3.0418,17.25339139,66.41
HP05OR,HP,1,3.3112,0.1453,2.2739,46.955,3.2255,6.0702,20.64954483,20.2
LL01OR,LL,1,4.555714286,0.2896,0.47515,6.667,1.3434,1.2094,14.03135852,88.97
LL02OR,LL,1,6.3725,0.3211,0.50639,6.5446,1.5874,1.2704,12.92403089,67.97
LL03OR,LL,1,6.31,0.294,0.45639,5.037,1.3099,1.0326,11.03661342,101.89
LL04OR,LL,1,5.05,0.3024,0.75672,9.2858,2.234,1.6779,12.27111745,67.58
LL05OR,LL,1,6.263333333,0.2892,0.05721,,0.16154,0.12917,,23.86
LW01OR,LW,1,3.7325,0.2775,0.81092,11.826,2.1943,2.5543,14.5834361,79.03
LW02OR,LW,1,6.1675,0.2381,0.85827,11.642,1.9927,2.5598,13.56449602,63.69
LW03OR,LW,1,4.393333333,0.2059,0.61117,7.9187,1.2271,1.8073,12.95662418,64.89
LW04OR,LW,1,4.183333333,0.2226,0.75466,10.849,1.6381,2.3435,14.37601039,88.82
LW05OR,LW,1,4.325,0.2845,0.67694,9.2798,1.878,2.0942,13.70845274,64.88
MS0101,MSs,1,5.924615385,0.2191,0.23402,3.5608,0.50057,0.75186,15.21579352,
MS0102,MSs,2,5.873333333,0.227,0.10467,1.2409,0.23196,0.49584,11.85535493,
MS0201,MSs,1,5.29375,0.2062,0.42776,7.1863,0.86112,1.2369,16.79984103,
MS0202,MSs,2,4.1,0.2036,0.47204,8.5067,0.93827,1.4265,18.02114228,
MS0301,MSs,1,4.63,0.2212,0.28365,4.0356,0.61254,0.80855,14.22739291,
MS0302,MSs,2,4.38,0.1906,0.25728,3.6557,0.47874,0.7562,14.20903296,
MS0303,MSs,3,4.96,0.2042,0.23403,3.4243,0.46656,0.70581,14.6318848,
MS0401,MSs,1,4.59,0.2462,0.3292,4.6522,0.79126,0.83378,14.13183475,
MS0402,MSs,2,6.47,0.346,0.05305,0.67392,0.17919,0.38689,12.70348728,
MS0501,MSs,1,4.8,0.1949,0.36676,6.1825,0.69786,1.0035,16.85707275,
MS0502,MSs,2,4.663333333,0.214,0.06315,0.58676,0.13193,0.41554,9.291528108,
MS0601,MSs,1,5.6,0.2674,0.26937,4.3279,0.7032,0.8002,16.06674834,
MS0602,MSs,2,6.673333333,0.2131,0.11775,1.6462,0.24498,0.48743,13.98046709,
MS0603,MSs,3,5.98,0.3151,0.19138,2.8819,0.58872,0.6147,15.05852231,
MS0701,MSs,1,4.36,0.2169,0.78432,13.162,1.6608,1.8885,16.78141575,
MS0702,MSs,2,4.1625,0.2054,0.30394,5.007,0.60948,0.91126,16.47364611,
MS0801,MSs,1,5.2,0.2645,0.80665,14.636,2.083,2.1111,18.14417653,
MS0802,MSs,2,4.923333333,0.1988,0.13307,2.0497,0.25826,0.60298,15.40317126,
MS0803,MSs,3,6.656666667,0.2089,0.12793,2.022,0.2609,0.55365,15.80551864,
MS0901,MSs,1,5.9,0.2066,0.3577,5.796,0.72148,1.0279,16.2035225,
MS0902,MSs,2,6.53,0.2516,0.19026,2.9829,0.46733,0.69558,15.67801955,
MS1001,MSs,1,4.913333333,0.2579,0.72604,11.215,1.828,1.6617,15.44680734,
MS1002,MSs,2,4.27,0.2232,0.30986,4.7615,0.6752,0.93072,15.36661718,
MS1003,MSs,3,6,0.2368,0.08415,1.0442,0.19455,0.41673,12.40879382,
